title,artists,rank,year,first_artist,title_fmtd,lyrics
I Don't Want This Night To End,Luke Bryan,93,2012,luke bryan,i dont want this night to end,Girl I know I don’t know you @ But your pretty little eyes so blue @ Are pulling me in @ Like the moon on your skin @ I’m so glad you trusted me @ To slide up on this dusty seat @ And let your hair down @ Get out of town @ Got the stars coming out over my hood @ And all I know now is it's going good @ You got your hands up @ You’re rocking in my truck @ You got the radio on @ You’re singing every song @ I’m set on cruise control @ I’m slowly losing hold @ Of everything I got @ You’re looking so damn hot @ And I don’t know what road we’re on @ Or where we’ve been @ From staring at you girl @ All I know is I don’t want this night to end @ Going to cuss the morning when it comes @ 'Cause I know that the rising sun @ Ain’t no good for me @ 'Cause you’ll have to leave @ Going to make the most of every mile @ Do anything to make your smile @ Land on my lips @ Get drunk on your kiss @ Clock on the dash says 3:35 @ There’s plenty of gas and the night’s still alive @ You got your hands up @ You’re rocking in my truck @ You got the radio on @ You’re singing every song @ I’m set on cruise control @ I’m slowly losing hold @ Of everything I got @ You’re looking so damn hot @ And I don’t know what road we’re on @ Or where we’ve been @ From staring at you girl @ All I know is I don’t want this night to end @ You got your hands up @ You’re rocking in my truck @ You got the radio on @ You’re singing every song @ I’m set on cruise control @ I’m slowly losing hold @ Of everything I got @ You’re looking so damn hot @ And I don’t know what road we’re on @ Or where we’ve been @ From staring at you girl @ All I know is I don’t want this night to end @ I don’t want this night to end @ No I don’t want this night to end
Diamonds,Rihanna,94,2012,rihanna,diamonds,"Shine bright like a diamond @ Shine bright like a diamond @ Find light in the beautiful sea @ I choose to be happy @ You and I, you and I, we're like diamonds in the sky @ You're a shooting star I see, a vision of ecstasy @ When you hold me, I'm alive, we're like diamonds in the sky @ I knew that we'd become one right away @ Oh, right away @ At first sight, I felt the energy of sun rays @ I saw the life inside your eyes @ So shine bright, tonight, you and I @ We're beautiful, like diamonds in the sky @ Eye to eye, so alive @ We're beautiful, like diamonds in the sky @ Shine bright like a diamond  @ Shine bright like a diamond  @ Shinin' bright like a diamond @ We're beautiful, like diamonds in the sky @ Shine bright like a diamond  @ Shine bright like a diamond  @ Shinin' bright like a diamond @ We're beautiful, like diamonds in the sky @ Palms rise to the universe @   @ as we moonshine and molly @ Feel the warmth, we'll never die @ We're like diamonds in the sky @ You're a shooting star I see, a vision of ecstasy @ When you hold me, I'm alive @ We're like diamonds in the sky @ At first sight, I felt the energy of sun rays @ I saw the life inside your eyes @ So shine bright, tonight, you and I @ We're beautiful, like diamonds in the sky @ Eye to eye, so alive @ We're beautiful, like diamonds in the sky @ Shine bright like a diamond  @ Shine bright like a diamond  @ Shinin' bright like a diamond @ We're beautiful, like diamonds in the sky @ Shine bright like a diamond  @ Shine bright like a diamond  @ Shinin' bright like a diamond @ We're beautiful, like diamonds in the sky @ Shine bright like a diamond @ Shine bright like a diamond @ Shine bright like a diamond @ So shine bright, tonight, you and I @ We're beautiful, like diamonds in the sky @ Eye to eye, so alive @ We're beautiful, like diamonds in the sky @ Shine bright like a diamond  @ Shine bright like a diamond  @ Shine bright like a diamond @ Oh-oh, yeah @ Shine bright like a diamond  @ Shine bright like a diamond  @ Shine bright like a diamond @ Shine bright like a diamond"
Hard To Love,Lee Brice,95,2012,lee brice,hard to love,"I am insensitive, I have a tendency to @ Pay more attention to the things that I need @ Sometimes I drink too much, sometimes I test your trust @ Sometimes I don't know why you're staying with me @ I'm hard to love, hard to love,  no I don't make it easy @ Well I couldn't do it if I stood where you stood @ I'm hard to love, hard to love, and you say that you need me @ I don't deserve it but I love that you love me good @ I am a short fuse, I am a wrecking ball @ Crashing into your heart like I do @ You're like a Sunday morning, full of grace and full of Jesus @ I wish that I could be more like you @ I'm hard to love, hard to love, no I don't make it easy @ Well I couldn't do it if I stood where you stood @ I'm hard to love, hard to love and you say that you need me @ I don't deserve it but I love that you love me good @ Love me good @ Girl you've given me a million second chances @ And I don't ever wanna take you for granted @ I'm just a man, I'm just a man @ Hard to love, hard to love, no I don't make it easy @ I couldn't do it if I stood where you stood @ I'm hard to love, hard to love and you say that you need me @ I don't deserve it but I love that you love me @ Hard to love, hard to love, no I don't make it easy @ I couldn't do it if I stood where you stood @ I'm hard to love, hard to love and you say that you need me @ I don't deserve it but I love that you love me @ Good @ You love me good"
Somethin' 'Bout A Truck,Kip Moore,96,2012,kip moore,somethin bout a truck,"There's somethin' 'bout a truck in a farmer's field @ A ""No trespass"" sign, and time to kill @ Nobody's gonna get hurt, so what's the big deal? @ There's somethin' 'bout a truck in a farmer's field @ And there's somethin' 'bout beer sitting on ice @ After a long hard day, makes it taste just right @ On that dropped tailgate on a summer night @ There's somethin' 'bout beer sittin' on ice @ And there's somethin' 'bout a girl in a red sundress @ With an ice cold beer pressed against her lips @ In that farmer's field , will make a boy a mess @ There's somethin' 'bout a girl in a red sundress @ And there's somethin' bout a kiss that's gonna lead to more @ On that dropped tailgate, back behind the corn @ The most natural thing you've ever felt before @ There's somethin' 'bout a kiss that's gonna lead to more @ And there's somethin' 'bout a truck in a field @ And a girl in a red sundress with an ice cold beer to her lips @ Begging for another kiss @ And there's somethin' 'bout you and me and the birds and the bees @ And Lord have mercy, it's a beautiful thing @ Ain't nothing 'bout it luck, there's somethin' 'bout a truck @ There's somethin' 'bout a creek around 2 AM @ After a few of those beers, you wanna dive on in @ You don't need no clothes, so just hang 'em on a limb @ There's somethin' 'bout a creek around 2 AM @ And there's somethin' 'bout a truck in a field @ And a girl in a red sundress with an ice cold beer to her lips @ Begging for another kiss @ And there's somethin' 'bout you and me and the birds and the bees @ And Lord have mercy it's a beautiful thing @ Ain't nothing 'bout it luck, there's somethin' 'bout a truck @ Ain't nothing 'bout it luck, there's somethin' 'bout a truck @ Hah"
Adorn,Miguel,97,2012,miguel,adorn,"Hello, I am your subconscious @ Don't be afraid @ I am yours and yours alone @ I am the projector and you are the projection @ And I am always supreme @ She's art dealer chic @ Would you be my friend, my freak? @ She's art dealer chic  @ Would you be my friend, my freak? @ These lips, can't wait to taste your skin, baby @ And these eyes, I can't wait to see your grin,  @ Just let my love, Just let my love adorn you  @ And you gotta know, you gotta know @ You know that I adore you  @ Baby these fists, will always protect ya, lady @ And this mind, will never neglect you,  @ And if they try to break us down  @ Don't let that affect us, no baby @ You just gotta let my love @ Let my love, let my love adorn you @ Ahh, le-le-le-let it dress you down @ You gotta know, you gotta know @ Know that I adore you @ Just that, baby @ Oh, let my love adorn you, baby @ Don't you ever, don't you let nobody tell you different, baby @ I'll always adore you, you gotta know now @ You gotta know na-nah-now, yeah @ Oh yeah @ The same way that the stars adorn the skies, yeah @ Now look up sugar  @ Now hey hey hey @ The same way that my whole world's in your eyes @   @ Oooh and it's time now  @ Just let, let my love  @ Hey, le-le-le-let it dress you down @ You got to know baby, oh you got to know @ That I adorn you, yeah @ Oh love ain't never looked so good on ya @ Oh, put it on, baby @ Let my love adorn... You"
Fly Over States,Jason Aldean,98,2012,jason aldean,fly over states,"A couple of guys in first class on a flight @ From New York to Los Angeles @ Kinda making small talk killing time @ Flirting with the flight attendants @ Thirty-thousand feet above, could be Oklahoma @ Just a bunch of square cornfields and wheat farms @ Man, it all looks the same @ Miles and miles of back roads and highways @ Connecting little towns with funny names @ Who'd want to live down there in the middle of nowhere? @ They've never drove through Indiana @ Met the men who plowed that earth @ Planted that seed, busted his ass for you and me @ Or caught a harvest moon in Kansas @ They'd understand why God made @ Those flyover states @ I bet that mile long Santa Fe freight train engineer's seen it all @ Just like that flatbed cowboy stacking US steel on a 3-day haul @ Roads and rails under their feet @ Yeah that sounds like a first class seat @ On the plains of Oklahoma @ With a windshield sunset in your eyes @ Like a water-colored painted sky @ You'll think heaven's doors have opened @ You'll understand why God made @ Those flyover states @ Take a ride across the badlands @ Feel that freedom on your face @ Breathe in all that open space @ And meet a girl from Amarillo @ You'll understand why God made @ You might even wanna plant your stakes @ In those flyover states @ Have you ever been through Indiana? @ On the plains of Oklahoma? @ Take a ride"
Even If It Breaks Your Heart,Eli Young Band,99,2012,eli young band,even if it breaks your heart,"Way back on the radio dial @ The fire got lit inside a bright-eyed child @ Every note just wrapped around his soul @ From steel guitars to Memphis, all the way to rock and roll @ Oh, I can hear 'em playin' @ I can hear the ringin' of a beat up ol' guitar @ Oh, I can hear 'em singin' @ ""Keep on dreamin', even if it breaks your heart"" @ Downtown is where I used to wander @ Old enough to get there, but too young to get inside @ So I would stand out on the sidewalk @ Listen to the music playin' every Friday night @ Oh, I can hear 'em playin' @ I can hear the ringin' of a beat up ol' guitar @ Oh, I can hear 'em singin' @ ""Keep on dreamin', even if it breaks your heart"" @ Some dreams stay with you forever @ Drag you around but bring you back to where you were @ Some dreams keep on gettin' better @ You gotta keep believin' if you wanna know for sure @ Oh, I can hear 'em playin' @ I can hear the ringin' of a beat up ol' guitar @ Oh, I can hear 'em singin' @ ""Keep on dreamin', even if it breaks your heart"" @ Oh, I can hear 'em playin' @ I can hear the ringin' of a beat up ol' guitar @ Oh, I can hear 'em singin' @ ""Keep on dreamin', even if it breaks your heart"" @ ""Keep on dreamin', even if it breaks your heart"" @ Keep on dreamin' @ Don't let it break your heart"
Burn It Down,Linkin Park,100,2012,linkin park,burn it down,"The cycle repeated @ As explosions broke in the sky @ All that I needed @ Was the one thing I couldn't find @ And you were there at the turn @ Waiting to let me know @ We're building it up to break it back down @ We're building it up to burn it down @ We can't wait to burn it to the ground @ The colors conflicted @ As the flames climbed into the clouds @ I wanted to fix this @ But couldn't stop from tearing it down @ And you were there at the turn @ Caught in the burning glow @ And I was there at the turn @ Waiting to let you know @ We're building it up to break it back down @ We're building it up to burn it down @ We can't wait to burn it to the ground @ You told me yes, you held me high @ And I believed when you told that lie @ I played soldier, you played king @ And struck me down when I kissed that ring @ You lost that right to hold that crown @ I built you up but you let me down @ So when you fall, I'll take my turn @ And fan the flames as your blazes burn @ And you were there at the turn @ Waiting to let me know @ We're building it up to break it back down @ We're building it up to burn it down @ We can't wait to burn it to the ground @ [Outro: Mike Shinoda &  @ Chester Bennington @ ] @ When you fall, I'll take my turn @ And fan the flames as your blazes burn @ We can't wait to burn it to the ground @ When you fall, I'll take my turn @ And fan the flames as your blazes burn @ We can't wait to burn it to the ground"
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,2013,macklemore and ryan lewis,thrift shop,"""Hey, Macklemore, can we go thrift shopping?"" @ What what, what, what @ What what, what, what @ What what, what, what @ What what, what, what @ What what, what, what @ Bada, bada, bada doo da @ What what, what, what @ Bada, bada, bada doo da @ What what, what, what @ Bada, bada, bada doo da @ Bada, bada, bada doo da @ Bada, bada, bada doo da @ Bada, bada, bada doo da @ Bada, bada, bada doo da @ I'm gonna pop some tags @ Only got twenty dollars in my pocket @ I'm, I'm, I'm huntin', lookin' for a come up @ This is fucking awesome @ Now @ Walk into the club like, ""What up? I got a big cock"" @ Nah, I'm just pumped, I bought some shit from a thrift shop @ Ice on the fringe is so damn frosty @ The people like, ""Damn, that's a cold ass honkey"" @ Rollin' in hella deep, headed to the mezzanine @ Dressed in all pink 'cept my gator shoes, those are green @ Draped in a leopard mink, girl standin' next to me @ Probably should've washed this, smells like R. Kelly sheets @ Piss... @ But shit, it was ninety-nine cents!  @ Coppin' it, washin' it, 'bout to go and get some compliments @ Passin' up on those moccasins someone else has been walkin' in @ Bummy and grungy, fuck it man, I am stunting and flossin' @ And saving my money and I'm hella happy; that’s a bargain, bitch @ I'ma take your grandpa's style, I'ma take your grandpa's style @ No, for real, ask your grandpa, can I have his hand-me-downs?  @ Velour jumpsuit and some house slippers @ Dookie brown leather jacket that I found diggin' @ They had a broken keyboard, I bought a broken keyboard @ I bought a skeet blanket, @   @ then I bought a knee board @ Hello, hello, my ace man, my mellow @ John Wayne ain't got nothing on my fringe game, hell no @ I could take some Pro Wings, make 'em cool, sell those @ The sneaker heads would be like, ""Ah, he got the Velcros"" @ I'm gonna pop some tags @ Only got twenty dollars in my pocket @ I'm, I'm, I'm huntin', lookin' for a come up @ This is fucking awesome @ I'm gonna pop some tags @ Only got twenty dollars in my pocket @ I'm, I'm, I'm huntin', lookin' for a come up @ This is fucking awesome @ What you know about rockin' a wolf on your noggin? @ What you knowin' about wearin' a fur fox skin? @ I'm diggin', I'm diggin', I'm searchin' right through that luggage @ One man's trash, that's another man's come up @ Thank your granddad for donatin' that plaid button- @ Up shirt 'cause right now, I'm up in her skirt @ I'm at the Goodwill, you can find me in the bins @ I'm not, I'm not stuck on searchin' in that section  @ Your grammy, your auntie, your mama, your mammy @ I'll take those flannel zebra jammies second hand and I'll rock that, motherfucker @ The built-in onesie with the socks on the motherfucker @ I hit the party and they stop in that motherfucker @ They be like, ""Oh, that Gucci? That's hella tight"" @ I'm like, ""Yo, that's fifty dollars for a T-shirt"" @ Limited edition, let's do some simple addition @ Fifty dollars for a T-shirt, that's just some ignorant bitch shit @ I call that getting-swindled-and-pimped shit @ I call that getting tricked by business @ That shirt's hella though @ And having the same one as six other people in this club is a hella don't @ Peep game, come take a look through my telescope @ Tryna get girls from a brand? @ Man, you hella won't! Man, you hella won't! @ Goodwill, poppin' tags, yeah! @ I'm gonna pop some tags @ Only got twenty dollars in my pocket @ I'm, I'm, I'm huntin', lookin' for a come up @ This is fucking awesome @ I'll wear your granddad's clothes @ I look incredible @ I'm in this big-ass coat @ From that thrift shop down the road @ I'll wear your granddad's clothes ( @ Damn right @ ) @ I look incredible ( @ Now come on, man @ ) @ I’m in this big-ass coat ( @ Big-ass coat @ ) @ From that thrift shop down the road ( @ Let's go, come on! @ ) @ I'm gonna pop some tags @ Only got twenty dollars in my pocket @ I'm, I'm, I'm huntin', lookin' for a come up @ This is fucking awesome @ ""Is that your grandma's coat?"""
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2,2013,robin thicke,blurred lines,"Everybody get up @ Everybody get up @ Hey, hey, hey @ Hey, hey, hey  @ Hey, hey, hey  @ Tune me up @ If you can't hear what I'm trying to say ( @ Hey girl, come here! @ ) @ If you can't read from the same page  @ Maybe I'm going deaf  @ Maybe I'm going blind  @ Maybe I'm out of my mind  @ Everybody get up @ Okay, now he was close @ Tried to domesticate you @ But you're an animal @ Baby, it's in your nature  @ Just let me liberate you  @ You don't need no takers  @ That man is not your maker  @ And that's why I'm gon' take a  @ Good girl @ I know you want it  @ I know you want it @ I know you want it @ You're a good girl @ Can't let it get past me @ You're far from plastic  @ Talkin' 'bout getting blasted @ I hate these blurred lines @ I know you want it  @ I know you want it  @ I know you want it @ But you're a good girl @ The way you grab me @ Must wanna get nasty @ Go ahead, get at me @ Everybody get up  @ What do they make dreams for  @ When you got them jeans on?  @ What do we need steam for? @ You the hottest bitch in this place @ I feel so lucky  @ You wanna hug me  @ What rhymes with hug me?  @ Hey!  @ Okay, now he was close @ Tried to domesticate you @ But you're an animal @ Baby, it's in your nature  @ Just let me liberate you   @ You don't need no takers   @ That man is not your maker   @ And that's why I'm gon' take a  @ Good girl @ I know you want it @ I know you want it  @ I know you want it @ You're a good girl @ Can't let it get past me  @ You're far from plastic  @ Talkin' 'bout getting blasted  @ I hate these blurred lines  @ I know you want it  @ I know you want it  @ I know you want it @ But you're a good girl  @ The way you grab me @ Must wanna get nasty @ Go ahead, get at me  @ Hustle Gang, homie @ Let go @ Ay say Rob, let me holla at 'em real quick @ One thing I ask of you @ Let me be the one you back that ass up to  @ Go from Malibu to Paris, boo  @ Had a bitch, but she ain't bad as you @ So, hit me up when you pass through @ I'll give you something big enough to tear your ass in two @ Swag on 'em even when you dress casual @ I mean, it's almost unbearable  @ In a hundred years not dare would I @ Pull a Pharcyde, let you pass me by @ Nothin' like your last guy, he too square for you @ He don't smack that ass and pull your hair like that @ So I'm just watchin' and waitin' @ For you to salute the true big pimpin'  @ Not many women can refuse this pimpin' @ I'm a nice guy, but don't get it confused, get pimpin'  @ Shake your rump @ Get down, get up-a @ Do it like it hurt, like it hurt @ What, you don't like work? @ Hey!  @ Baby, can you breathe? @ I got this from Jamaica @ It always works for me @ Dakota to Decatur  @ No more pretending   @ 'Cause now you're winning   @ Here's our beginning   @ I always wanted a @ You're a good girl  @ I know you want it  @ I know you want it @ I know you want it @ You're a good girl @ Can't let it get past me  @ You're far from plastic  @ Talkin' 'bout getting blasted @ I hate these blurred lines  @ I know you want it  @ I know you want it  @ I know you want it @ But you're a good girl @ The way you grab me @ Must wanna get nasty  @ Go ahead, get at me @ Everybody get up @ Everybody get up @ Hey, hey, hey @ Hey, hey, hey @ Hey, hey, hey"
Radioactive,Imagine Dragons,3,2013,imagine dragons,radioactive,"Whoah-oh @ Whoah-oh @ Whoah-oh @ Whoah @ I'm waking up to ash and dust @ I wipe my brow and I sweat my rust @ I'm breathing in the chemicals @ Yeah, ah @ I'm breaking in, shaping up @ Then checking out on the prison bus @ This is it, the apocalypse @ Whoa @ I'm waking up, I feel it in my bones @ Enough to make my system blow @ Welcome to the new age, to the new age @ Welcome to the new age, to the new age @ Whoa-oh, whoa @ I'm radioactive, radioactive @ Whoa-oh, whoa @ I'm radioactive, radioactive @ I raise my flags, dye my clothes @ It's a revolution, I suppose @ We're painted red to fit right in @ Whoa @ I'm breaking in, shaping up @ Then checking out on the prison bus @ This is it, the apocalypse @ Whoa @ I'm waking up, I feel it in my bones @ Enough to make my system blow @ Welcome to the new age, to the new age @ Welcome to the new age, to the new age @ Whoa-oh, whoa @ I'm radioactive, radioactive @ Whoa-oh, whoa @ I'm radioactive, radioactive @ All systems go, the sun hasn't died @ Deep in my bones, straight from inside @ I'm waking up, I feel it in my bones @ Enough to make my system blow @ Welcome to the new age, to the new age @ Welcome to the new age, to the new age @ Whoa-oh, whoa @ I'm radioactive, radioactive @ Whoa-oh, whoa @ I'm radioactive, radioactive"
Harlem Shake,Baauer,4,2013,baauer,harlem shake,"Con los terroristas, -tas, -tas, -tas @ -tas -tas -tas -tas, -tas -tas -tas -tas -tas @ Then do the Harlem Shake  @ Ey , con los terroristas @ Ey , ey  @ Ey , ey  @ Ey , ey  @  -tas,  -tas, -tas,  -tas, -tas, -tas, -tas @ -tas, -tas,  -tas, -tas,  -tas, -tas, -tas, -tas @ -tas, -tas, -tas, -tas, -tas -tas -tas -tas -tas -tas -tas -tas -tas @ Then do the Harlem Shake  @ Ey , con los terroristas @ Ey,  ey  @ Shake, shake @ Shake, ey  @ Ey , ey  @ Ey "
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,5,2013,macklemore and ryan lewis,cant hold us,"Hey, hey, hey @ Good to see you @ Come on, dude, let's go @ Yeah! Let's go! @ Ha-ha-ha-ha alright @ Alright, okay @ Alright, okay @ Alright, okay @ Return of the Mack @ Get 'em, what it is, what it does, what it is, what it isn't @ Looking for a better way to get up outta bed @ Instead of getting on the Internet @ And checking on who hit me, get up @ Thrift shop, pimp-strut walkin' @ Little bit of humble, little bit of cautious @ Somewhere between like Rocky and Cosby @ Sweater game, nope nope, y'all can't copy, yeah @ Bad, moonwalking, @  this here is our party @ My posse's been on Broadway,  @ and we did it our way @ Grown music, I shed my skin and put my bones @ Into everything I record to it and yet I'm on @ Let that stage light go and shine on down @ Got that Bob Barker suit game and Plinko in my style @ Money, stay on my craft and stick around for those pounds @ But I do that to pass the torch and put on for my town @ Trust me on my I-N-D-E-P-E-N-D-E-N-T shit, hustlin' @ Chasing dreams since I was fourteen @ With the four-track, bussin' @ Halfway cross that city with the back  pack , fat  cat , crushin' @ Labels out here, now they can't tell me nothin' ( @ Hey, hey, hey @ ) @ We give that to the people, spread it across the country ( @ Hey, hey, hey, oh @ ) @ Labels out here, now they can't tell me nothin' ( @ Hey, hey, hey @ ) @ We give it to the people, spread it across the country ( @ Hey, hey, hey, oh @ ) @ Can we go back? This is the moment @ Tonight is the night, we'll fight 'til it's over @ So we put our hands up @ Like the ceiling can't hold us @ Like the ceiling can't hold us @ Can we go back? This is the moment @ Tonight is the night, we'll fight 'til it's over @ So we put our hands up @ Like the ceiling can't hold us @ Like the ceiling can't hold us @ Now, can I kick it? Thank you @ Yeah, I'm so damn grateful @ I grew up really wanting gold fronts @ But that’s what you get when Wu-Tang raised you @ Y'all can't stop me @ Go hard like I got a 808 in my heartbeat @ And I'm eating at the beat like you gave a little speed @ To a great white shark on Shark Week, raw! @ Time to go off, I'm gone @ Deuces, goodbye, I got a world to see @ And my girl, she wanna see Rome @ Caesar'll make you a believer @ Nah, I never ever did it for a throne @ That validation comes from giving it back to the people @ Now sing a song, and it goes like @ Raise those hands, this is our party ( @ Hey, hey, hey @ ) @ We came here to live life like nobody was watching ( @ Hey, hey, hey, oh @ ) @ I got my city right behind me, if I fall, they got me ( @ Hey, hey, hey @ ) @ Learn from that failure, gain humility ( @ Hey, hey, hey @ ) @ And then we keep marching, I said @ Can we go back? This is the moment @ Tonight is the night, we'll fight 'til it's over @ So we put our hands up @ Like the ceiling can't hold us @ Like the ceiling can't hold us @ Can we go back? This is the moment @ Tonight is the night, we'll fight 'til it's over @ So we put our hands up @ Like the ceiling can't hold us @ Like the ceiling can't hold us @ And so we put our hands up @ And so we put our hands up @ Whoa, whoa, whoa @ [Bridge: Ray Dalton and  @ Macklemore @ ] @ Let's go! @ Na na na na, na na na na ( @ Uh-huh @ ) @ Hey ( @ And all my people sing @ ) @ Na na na na, na na na na ( @ Hey, hey, that's right @ ) @ Hey ( @ Here we go, all right, uh @ ) @ And all my people sing @ Na na na na, na na na na ( @ You do it, Ray @ ) @ Oh ( @ Ha-ha, let's go @ ) @ And all my people sing @ Na na na na, na na na na @ Mack-le-e-e-e-e-more! @ Can we go back? This is the moment @ Tonight is the night, we'll fight 'til it's over @ So we put our hands up @ Like the ceiling can't hold us @ Like the ceiling can't hold us @ Can we go back? This is the moment  @ Tonight is the night, we'll fight 'til it's over  @ So we put our hands up  @ Like the ceiling can't hold us  @ Like the ceiling can't hold us "
Mirrors,Justin Timberlake,6,2013,justin timberlake,mirrors,"Aren't you somethin' to admire? @ 'Cause your shine is somethin' like a mirror @ And I can't help but notice @ You reflect in this heart of mine @ If you ever feel alone and @ The glare makes me hard to find @ Just know that I'm always @ Parallel on the other side @ 'Cause with your hand in my hand and a pocket full of soul @ I can tell you there's no place we couldn't go @ Just put your hand on the glass @ I’ll be there to pull you through @ You just gotta be strong @ 'Cause I don't wanna lose you now @ I'm lookin' right at the other half of me @ The vacancy that sat in my heart @ Is a space that now you hold @ Show me how to fight for now @ And I'll tell you, baby, it was easy @ Comin' back here to you once I figured it out @ You were right here all along @ It's like you're my mirror @   @ My mirror staring back at me   @ I couldn't get any bigger  @ With anyone else beside me  @ And now it's clear as this promise @ That we're making @ Two reflections into one @ 'Cause it's like you're my mirror @   @ My mirror staring back at me, staring back at me @ Aren't you somethin', an original? @ 'Cause it doesn't seem merely assembled @ And I can't help but stare, 'cause @ I see truth somewhere in your eyes @ I can't ever change without you @ You reflect me, I love that about you @ And if I could, I @ Would look at us all the time @ 'Cause with your hand in my hand and a pocket full of soul @ I can tell you there's no place we couldn't go @ Just put your hand on the past @ I'm here tryna pull you through @ You just gotta be strong @ 'Cause I don't wanna lose you now @ I'm lookin' right at the other half of me @ The vacancy that sat in my heart @ Is a space that now you hold @ Show me how to fight for now @ And I'll tell you, baby, it was easy @ Comin' back here to you once I figured it out @ You were right here all along @ It's like you're my mirror @   @ My mirror staring back at me  @ I couldn't get any bigger  @ With anyone else beside me  @ And now it's clear as this promise @ That we're making @ Two reflections into one @ 'Cause it's like you're my mirror @   @ My mirror staring back at me, staring back at me @ Yesterday is history, oh @ Tomorrow's a mystery, oh @ I can see you lookin' back at me @ Keep your eyes on me @ Baby, keep your eyes on me @ 'Cause I don't wanna lose you now @ I'm lookin' right at the other half of me @ The vacancy that sat in my heart @ Is a space that now you hold @ Show me how to fight for now @   @ And I'll tell you, baby, it was easy @ Comin' back here to you once I figured it out @ You were right here all along @ It's like you're my mirror @   @ My mirror staring back at me  @ I couldn't get any bigger  @ With anyone else beside me  @ And now it's clear as this promise @ That we're making @ Two reflections into one @ 'Cause it's like you're my mirror @   @ My mirror staring back at me, staring back at me @ Ohh  @ Ohh  @ Ohh ohh  @ Uhh  @ Ohh  @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ Now, you're the inspiration of this precious song @ And I just wanna see your face light up since you put me on @ So now I say goodbye to the old me, it's already gone @ And I can't wait, wait, wait, wait, wait to get you home @ Just to let you know, you are @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ Girl, you're my reflection, all I see is you @ My reflection, in everything I do @ You're my reflection and all I see is you @ My reflection, in everything I do @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life @ You are, you are the love of my life"
Just Give Me A Reason,P!nk Featuring Nate Ruess,7,2013,pink,just give me a reason,"Right from the start @ You were a thief, you stole my heart @ And I, your willing victim @ I let you see the parts of me that weren't all that pretty @ And with every touch, you fixed them @ Now you've been talking in your sleep @ Oh, oh @ Things you never say to me @ Oh, oh @ Tell me that you've had enough @ Of our love, our love @ Just give me a reason @ Just a little bit's enough @ Just a second - we're not broken, just bent @ And we can learn to love again @ It's in the stars @ It's been written in the scars on our hearts @ We're not broken, just bent @ And we can learn to love again @ [Verse 2: Nate Ruess &  @ P!nk @ ] @ I'm sorry I don't understand @ Where all of this is coming from @ I thought that we were fine @ Your head is running wild again @ My dear, we still have everything @ And it's all in your mind @ [Pre-Chorus: Nate Ruess  @ & P!nk @ ] @ You've been having real bad dreams @ Oh, oh @ You used to lie so close to me @ Oh, oh @ There's  @ nothing more than empty sheets @ Between our love, our love @ Oh, our  @ love, our love @ ,  @ love @ [Chorus: Nate Ruess  @ & P!nk @ ] @ Just give me a reason @ Just a little bit’s enough @ Just a second - we’re not  @ broken @ , just bent @ And we can learn to love again @ I’ve never stopped @ You’re still written in the scars on my heart @ You’re not broken, just bent @ And we can learn to love  @ again @ [Bridge: Nate Ruess &  @ P!nk @ ] @ Oh, tears ducts and rust @ I'll fix it for us @ We're collecting dust, but our love's enough @ You're holding it in @ You're pouring a drink @ No, nothing is as bad as it seems @ We'll come clean @ Just give me a reason @ Just a little bit's enough @ Just a second - we're not broken, just bent @ And we can learn to love again @ It's in the stars @ It's been written in the scars on our hearts @ That we're not broken, just bent @ And we can learn to love again @ Just give me a reason @ Just a little bit's enough @ Just a second we're not broken, just bent @ And we can learn to love again @ It's in the stars @ It's still written in the scars on our hearts @ That we're not broken, just bent @ And we can learn to love again @ Oh-oh, we can learn to love again @ Oh-oh, can learn to love again @ Oh-oh @ That we're not broken, just bent @ And we can learn to love again"
